Date,0-10  age group total deaths,10-20 age group total deaths,20-30 age group total deaths,30-40 age group total deaths,40-50 age group total deaths,50-60 age group total deaths,60-70 age group total deaths,70-80 age group total deaths,80-90 age group total deaths,Above 90 age group total deaths
2020-06-13,2,5,27,109,323,610,620,296,103,16
2020-06-14,2,5,27,111,329,634,644,310,111,17
2020-06-15,2,5,29,112,335,652,664,319,113,17
2020-06-16,2,5,29,112,335,652,664,319,113,17
2020-06-17,3,11,46,157,456,927,923,490,178,23
2020-06-18,4,12,46,160,458,941,925,498,184,23
2020-06-19,4,13,48,162,466,963,964,512,188,24
2020-06-20,4,13,49,169,483,985,1012,539,200,24
2020-06-21,4,13,50,174,492,1017,1041,565,207,25
2020-06-22,6,13,50,175,501,1036,1059,574,215,25
2020-06-23,6,14,52,178,508,1065,1094,594,224,26
2020-06-24,6,14,56,184,535,1108,1157,627,245,26
2020-06-25,7,14,58,188,542,1133,1189,645,252,28
2020-06-26,7,14,60,193,551,1160,1221,676,260,31
2020-06-27,7,14,62,195,565,1187,1255,691,271,31
2020-06-28,7,14,62,201,577,1204,1275,713,279,33
2020-06-29,7,17,68,207,585,1221,1301,736,282,33
2020-06-30,7,17,70,214,597,1245,1325,758,284,33
2020-07-01,7,18,72,216,607,1265,1345,772,288,35
2020-07-02,7,18,72,220,609,1279,1360,786,296,35
2020-07-03,8,18,72,223,621,1294,1381,798,305,35
2020-07-04,8,18,74,224,630,1307,1399,816,312,35
2020-07-05,8,18,75,227,633,1324,1417,836,319,35
2020-07-06,8,18,76,229,637,1334,1425,845,324,36
2020-07-07,8,18,77,232,641,1345,1442,863,333,36
2020-07-08,8,18,79,235,645,1357,1460,881,341,37
2020-07-09,8,18,81,236,649,1373,1480,899,347,38
2020-07-10,8,18,81,238,653,1382,1505,923,356,38
2020-07-11,8,18,81,241,656,1389,1517,928,365,38
2020-07-12,9,18,82,242,659,1394,1529,940,374,38
2020-07-13,9,18,84,246,662,1403,1544,951,376,39
2020-07-14,9,18,85,247,667,1420,1565,967,384,40
2020-07-15,9,18,86,248,673,1432,1582,980,396,40
2020-07-16,9,20,86,251,676,1444,1602,987,405,40
